email,first_name,last_name,role,school_name,school_type,domain,state,city,phone,status,notes,custom_data
,,,Owner/Manager,"Cool R Us, Inc A/C & Heating",Business,https://www.coolrusnfl.com/,FL,Jacksonville,(904) 592-0651,pending,"Scraped from Google Maps: HVAC companies in Jacksonville, FL. Emails: ",[]
info@eliteacllc.com,,,Owner/Manager,Elite AC,Business,https://eliteacllc.com/,FL,Jacksonville,(904) 420-0075,pending,"Scraped from Google Maps: HVAC companies in Jacksonville, FL. Emails: info@eliteacllc.com",['info@eliteacllc.com']
contact@mysite.com,,,Owner/Manager,Avalon Heating and Air +Electrical services,Business,https://coolingjacksonville.com/,FL,Jacksonville,(904) 245-1818,pending,"Scraped from Google Maps: HVAC companies in Jacksonville, FL. Emails: contact@mysite.com, service@avalonac.com","['contact@mysite.com', 'service@avalonac.com']"
,,,Owner/Manager,Del-Air Heating & Air Conditioning,Business,https://www.delair.com/jacksonville/?utm_source=google&utm_medium=organic&utm_campaign=gbp,FL,Jacksonville,(904) 278-0339,pending,"Scraped from Google Maps: HVAC companies in Jacksonville, FL. Emails: ",[]
,,,Owner/Manager,David Gray,Business,https://www.davidgrayonline.com/,FL,Jacksonville,(904) 605-8190,pending,"Scraped from Google Maps: HVAC companies in Jacksonville, FL. Emails: ",[]
your@email.com,,,Owner/Manager,Willman Air,Business,https://willmanair.com/,FL,Jacksonville,(904) 568-7371,pending,"Scraped from Google Maps: HVAC companies in Jacksonville, FL. Emails: your@email.com",['your@email.com']
,,,Owner/Manager,Waychoff's Air Conditioning,Business,https://www.waychoffsac.com/?utm_source=google&utm_medium=gbp&utm_campaign=WAY0100-WEB009-GBP&utm_crid=WAY0100_WEB009_60996848,FL,Jacksonville,(904) 977-2547,pending,"Scraped from Google Maps: HVAC companies in Jacksonville, FL. Emails: ",[]
%20info@getcooljax.com,,,Owner/Manager,"Guardian HVAC LLC, DBA Guardian Heating and Air",Business,http://www.getcooljax.com/,FL,Jacksonville,(904) 776-4225,pending,"Scraped from Google Maps: HVAC companies in Jacksonville, FL. Emails: %20info@getcooljax.com, info@getcooljax.com","['%20info@getcooljax.com', 'info@getcooljax.com']"
,,,Owner/Manager,Bold City Heating & Air,Business,https://boldcityac.com/?utm_campaign=gmb,FL,Jacksonville,(904) 453-8254,pending,"Scraped from Google Maps: HVAC companies in Jacksonville, FL. Emails: ",[]
snyderman@snyderac.com,,,Owner/Manager,"Snyder Air Conditioning, Plumbing & Electric",Business,https://snyderac.com/north-florida/jacksonville/?utm_source=google-gbp&utm_medium=organic&utm_campaign=*182*snyder-air-jacksonville,FL,Jacksonville,(904) 274-4454,pending,"Scraped from Google Maps: HVAC companies in Jacksonville, FL. Emails: snyderman@snyderac.com, info@snydersfl.com","['snyderman@snyderac.com', 'info@snydersfl.com']"
,,,Owner/Manager,Tropic Aire Of North Florida,Business,https://www.tropicaire.net/,FL,Jacksonville,(904) 664-2768,pending,"Scraped from Google Maps: HVAC companies in Jacksonville, FL. Emails: ",[]
,,,Owner/Manager,Service Experts Jacksonville,Business,https://www.serviceexperts.com/jacksonville-fl?&utm_campaign=listing&utm_medium=organic_search&utm_source=gmb&utm_content=brand,FL,Jacksonville,(904) 560-5878,pending,"Scraped from Google Maps: HVAC companies in Jacksonville, FL. Emails: ",[]
,,,Owner/Manager,Air McCall,Business,https://www.fenwickhomeservices.com/?utm_source=google&utm_medium=gbp&utm_campaign=FWK0100-WEB009-GBP&utm_crid=FWK0100_WEB009_113215303,FL,Jacksonville,(904) 682-9522,pending,"Scraped from Google Maps: HVAC companies in Jacksonville, FL. Emails: ",[]
,,,Owner/Manager,Florida Home Air Conditioning,Business,https://floridahomeac.com/service-areas?utm_source=google&utm_medium=gbp&utm_campaign=local_seo&utm_content=gbp_website_click,FL,Jacksonville,(904) 990-8633,pending,"Scraped from Google Maps: HVAC companies in Jacksonville, FL. Emails: ",[]
,,,Owner/Manager,"Weather Engineers, Inc.",Business,https://weatherengineers.com/jacksonville-fl-air-conditioning-services/,FL,Jacksonville,(904) 593-3721,pending,"Scraped from Google Maps: HVAC companies in Jacksonville, FL. Emails: ",[]
,,,Owner/Manager,"Thigpen Heating and Cooling, Inc",Business,https://www.thigpenhvac.com/?y_source=1_MTgwMjQ2NDgtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,FL,Jacksonville,(904) 448-1962,pending,"Scraped from Google Maps: HVAC companies in Jacksonville, FL. Emails: ",[]
,,,Owner/Manager,Hammond Heating & Air Conditioning,Business,https://www.hammondair.com/jacksonville-fl/,FL,Jacksonville,(904) 893-3341,pending,"Scraped from Google Maps: HVAC companies in Jacksonville, FL. Emails: ",[]
,,,Owner/Manager,Ideal Conditions Heating & Air Conditioning,Business,https://idealconditionsjax.com/?utm_source=google+business+profile&utm_medium=organic&utm_campaign=gbp_bio,FL,Jacksonville,(904) 458-7943,pending,"Scraped from Google Maps: HVAC companies in Jacksonville, FL. Emails: ",[]
,,,Owner/Manager,J&W Heating and Air & Plumbing,Business,https://www.jandwheatingandair.com/?utm_source=google&utm_medium=gbp,FL,Jacksonville,(904) 780-5787,pending,"Scraped from Google Maps: HVAC companies in Jacksonville, FL. Emails: ",[]
,,,Owner/Manager,Affordable Mighty Air Inc,Business,https://www.mightyairinc.com/,FL,Jacksonville,(904) 549-6571,pending,"Scraped from Google Maps: HVAC companies in Jacksonville, FL. Emails: ",[]
,,,Owner/Manager,"Cool R Us, Inc A/C & Heating",Business,https://www.coolrusnfl.com/,FL,Jacksonville,(904) 592-0651,pending,"Scraped from Google Maps: HVAC companies in Jacksonville, FL. Emails: ",[]
info@eliteacllc.com,,,Owner/Manager,Elite AC,Business,https://eliteacllc.com/,FL,Jacksonville,(904) 420-0075,pending,"Scraped from Google Maps: HVAC companies in Jacksonville, FL. Emails: info@eliteacllc.com",['info@eliteacllc.com']
service@jacksonvilleacservice.com,,,Owner/Manager,NorthPort Heating and Air Conditioning,Business,http://www.jacksonvilleacservice.com/,FL,Jacksonville,(904) 438-4822,pending,"Scraped from Google Maps: HVAC companies in Jacksonville, FL. Emails: service@jacksonvilleacservice.com",['service@jacksonvilleacservice.com']
,,,Owner/Manager,"Northeast Florida Heating & Air, Inc.",Business,https://www.nefhac.com/,FL,Jacksonville,(904) 783-7003,pending,"Scraped from Google Maps: HVAC companies in Jacksonville, FL. Emails: ",[]
contact@mysite.com,,,Owner/Manager,Avalon Heating and Air +Electrical services,Business,https://coolingjacksonville.com/,FL,Jacksonville,(904) 245-1818,pending,"Scraped from Google Maps: HVAC companies in Jacksonville, FL. Emails: contact@mysite.com, service@avalonac.com","['contact@mysite.com', 'service@avalonac.com']"
,,,Owner/Manager,Ocean State Air Conditioning & Heating,Business,https://oceanstateac.com/,FL,Jacksonville,(904) 574-5619,pending,"Scraped from Google Maps: HVAC companies in Jacksonville, FL. Emails: ",[]
,,,Owner/Manager,Del-Air Heating & Air Conditioning,Business,https://www.delair.com/jacksonville/?utm_source=google&utm_medium=organic&utm_campaign=gbp,FL,Jacksonville,(904) 278-0339,pending,"Scraped from Google Maps: HVAC companies in Jacksonville, FL. Emails: ",[]
,,,Owner/Manager,David Gray,Business,https://www.davidgrayonline.com/,FL,Jacksonville,(904) 605-8190,pending,"Scraped from Google Maps: HVAC companies in Jacksonville, FL. Emails: ",[]
leads@reliableductsac.com,,,Owner/Manager,Reliable Ducts Heating and Cooling,Business,https://reliableductsac.com/,FL,Jacksonville,(904) 551-7132,pending,"Scraped from Google Maps: HVAC companies in Jacksonville, FL. Emails: leads@reliableductsac.com",['leads@reliableductsac.com']
your@email.com,,,Owner/Manager,Willman Air,Business,https://willmanair.com/,FL,Jacksonville,(904) 568-7371,pending,"Scraped from Google Maps: HVAC companies in Jacksonville, FL. Emails: your@email.com",['your@email.com']
service@comfortzoneofnf.com,,,Owner/Manager,Comfort Zone of North Florida Inc.,Business,https://comfortzoneofnf.com/jacksonville/,FL,Jacksonville,(904) 659-8701,pending,"Scraped from Google Maps: HVAC companies in Jacksonville, FL. Emails: service@comfortzoneofnf.com",['service@comfortzoneofnf.com']
,,,Owner/Manager,Waychoff's Air Conditioning,Business,https://www.waychoffsac.com/?utm_source=google&utm_medium=gbp&utm_campaign=WAY0100-WEB009-GBP&utm_crid=WAY0100_WEB009_60996848,FL,Jacksonville,(904) 977-2547,pending,"Scraped from Google Maps: HVAC companies in Jacksonville, FL. Emails: ",[]
info@getcooljax.com,,,Owner/Manager,"Guardian HVAC LLC, DBA Guardian Heating and Air",Business,http://www.getcooljax.com/,FL,Jacksonville,(904) 776-4225,pending,"Scraped from Google Maps: HVAC companies in Jacksonville, FL. Emails: info@getcooljax.com, %20info@getcooljax.com","['info@getcooljax.com', '%20info@getcooljax.com']"
,,,Owner/Manager,Tropic Aire Of North Florida,Business,https://www.tropicaire.net/,FL,Jacksonville,(904) 664-2768,pending,"Scraped from Google Maps: HVAC companies in Jacksonville, FL. Emails: ",[]
,,,Owner/Manager,"Thigpen Heating and Cooling, Inc",Business,https://www.thigpenhvac.com/?y_source=1_MTgwMjQ2NDgtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,FL,Jacksonville,(904) 448-1962,pending,"Scraped from Google Maps: HVAC companies in Jacksonville, FL. Emails: ",[]
,,,Owner/Manager,Ideal Conditions Heating & Air Conditioning,Business,https://idealconditionsjax.com/?utm_source=google+business+profile&utm_medium=organic&utm_campaign=gbp_bio,FL,Jacksonville,(904) 458-7943,pending,"Scraped from Google Maps: HVAC companies in Jacksonville, FL. Emails: ",[]
service@jacksonvilleacservice.com,,,Owner/Manager,NorthPort Heating and Air Conditioning,Business,http://www.jacksonvilleacservice.com/,FL,Jacksonville,(904) 438-4822,pending,"Scraped from Google Maps: HVAC companies in Jacksonville, FL. Emails: service@jacksonvilleacservice.com",['service@jacksonvilleacservice.com']
,,,Owner/Manager,"Northeast Florida Heating & Air, Inc.",Business,https://www.nefhac.com/,FL,Jacksonville,(904) 783-7003,pending,"Scraped from Google Maps: HVAC companies in Jacksonville, FL. Emails: ",[]
,,,Owner/Manager,Ocean State Air Conditioning & Heating,Business,https://oceanstateac.com/,FL,Jacksonville,(904) 574-5619,pending,"Scraped from Google Maps: HVAC companies in Jacksonville, FL. Emails: ",[]
leads@reliableductsac.com,,,Owner/Manager,Reliable Ducts Heating and Cooling,Business,https://reliableductsac.com/,FL,Jacksonville,(904) 551-7132,pending,"Scraped from Google Maps: HVAC companies in Jacksonville, FL. Emails: leads@reliableductsac.com",['leads@reliableductsac.com']
service@comfortzoneofnf.com,,,Owner/Manager,Comfort Zone of North Florida Inc.,Business,https://comfortzoneofnf.com/jacksonville/,FL,Jacksonville,(904) 659-8701,pending,"Scraped from Google Maps: HVAC companies in Jacksonville, FL. Emails: service@comfortzoneofnf.com",['service@comfortzoneofnf.com']
,,,Owner/Manager,Florida Air Flow Heating & Air,Business,https://floridaairflow.com/,FL,Jacksonville,(904) 982-9731,pending,"Scraped from Google Maps: HVAC companies in Jacksonville, FL. Emails: ",[]
info@advantech-air.com,,,Owner/Manager,Advantech Air,Business,http://www.advantech-air.com/,FL,Jacksonville,(904) 325-9007,pending,"Scraped from Google Maps: HVAC companies in Jacksonville, FL. Emails: info@advantech-air.com",['info@advantech-air.com']
,,,Owner/Manager,"Noble Heating & Air, Inc",Business,http://nobleheatingairservices.com/,FL,Jacksonville,(904) 413-8020,pending,"Scraped from Google Maps: HVAC companies in Jacksonville, FL. Emails: ",[]
,,,Owner/Manager,Florida Air Flow Heating & Air,Business,https://floridaairflow.com/,FL,Jacksonville,(904) 982-9731,pending,"Scraped from Google Maps: HVAC companies in Jacksonville, FL. Emails: ",[]
info@advantech-air.com,,,Owner/Manager,Advantech Air,Business,http://www.advantech-air.com/,FL,Jacksonville,(904) 325-9007,pending,"Scraped from Google Maps: HVAC companies in Jacksonville, FL. Emails: info@advantech-air.com",['info@advantech-air.com']
,,,Owner/Manager,"Noble Heating & Air, Inc",Business,http://nobleheatingairservices.com/,FL,Jacksonville,(904) 413-8020,pending,"Scraped from Google Maps: HVAC companies in Jacksonville, FL. Emails: ",[]
service@whitleysair.com,,,Owner/Manager,Whitleys Heating and Air LLC,Business,https://www.whitleysair.com/,FL,Jacksonville,(904) 626-6675,pending,"Scraped from Google Maps: HVAC companies in Jacksonville, FL. Emails: service@whitleysair.com",['service@whitleysair.com']
info@allseasonsjax.com,,,Owner/Manager,All-Seasons Heating And Air Conditioning of Jax Inc,Business,http://www.allseasonsjax.com/,FL,Jacksonville,(904) 398-5720,pending,"Scraped from Google Maps: HVAC companies in Jacksonville, FL. Emails: info@allseasonsjax.com",['info@allseasonsjax.com']
,,,Owner/Manager,"Lickety Split AC, Plumbing & Electric",Business,https://licketysplitfl.com/?utm_source=google&utm_medium=gbp-jacksonville&se_campaign=GBP-Jacksonville,FL,Jacksonville,(904) 712-0764,pending,"Scraped from Google Maps: HVAC companies in Jacksonville, FL. Emails: ",[]
,,,Owner/Manager,Buehler Air Conditioning & Plumbing,Business,https://buehlerair.com/?utm_source=google&utm_medium=organic&utm_campaign=GMBListing-Jacksonville-Beach-FL,FL,Jacksonville,(904) 605-0332,pending,"Scraped from Google Maps: HVAC companies in Jacksonville, FL. Emails: ",[]
airbyestes@gmail.com,,,Owner/Manager,"Estes Heating and Air-Conditioning, Inc.",Business,https://www.airbyestes.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,FL,Jacksonville,(904) 241-6727,pending,"Scraped from Google Maps: HVAC companies in Jacksonville, FL. Emails: airbyestes@gmail.com",['airbyestes@gmail.com']
service@whitleysair.com,,,Owner/Manager,Whitleys Heating and Air LLC,Business,https://www.whitleysair.com/,FL,Jacksonville,(904) 626-6675,pending,"Scraped from Google Maps: HVAC companies in Jacksonville, FL. Emails: service@whitleysair.com",['service@whitleysair.com']
info@allseasonsjax.com,,,Owner/Manager,All-Seasons Heating And Air Conditioning of Jax Inc,Business,http://www.allseasonsjax.com/,FL,Jacksonville,(904) 398-5720,pending,"Scraped from Google Maps: HVAC companies in Jacksonville, FL. Emails: info@allseasonsjax.com",['info@allseasonsjax.com']
,,,Owner/Manager,"Lickety Split AC, Plumbing & Electric",Business,https://licketysplitfl.com/?utm_source=google&utm_medium=gbp-jacksonville&se_campaign=GBP-Jacksonville,FL,Jacksonville,(904) 712-0764,pending,"Scraped from Google Maps: HVAC companies in Jacksonville, FL. Emails: ",[]
,,,Owner/Manager,Buehler Air Conditioning & Plumbing,Business,https://buehlerair.com/?utm_source=google&utm_medium=organic&utm_campaign=GMBListing-Jacksonville-Beach-FL,FL,Jacksonville,(904) 605-0332,pending,"Scraped from Google Maps: HVAC companies in Jacksonville, FL. Emails: ",[]
airbyestes@gmail.com,,,Owner/Manager,"Estes Heating and Air-Conditioning, Inc.",Business,https://www.airbyestes.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,FL,Jacksonville,(904) 241-6727,pending,"Scraped from Google Maps: HVAC companies in Jacksonville, FL. Emails: airbyestes@gmail.com",['airbyestes@gmail.com']
your@email.com,,,Owner/Manager,"Complete Air Systems, Inc.",Business,http://completeair.com/,FL,Jacksonville,(904) 268-4486,pending,"Scraped from Google Maps: HVAC companies in Jacksonville, FL. Emails: your@email.com",['your@email.com']
your@email.com,,,Owner/Manager,"Complete Air Systems, Inc.",Business,http://completeair.com/,FL,Jacksonville,(904) 268-4486,pending,"Scraped from Google Maps: HVAC companies in Jacksonville, FL. Emails: your@email.com",['your@email.com']
filler@godaddy.com,,,Owner/Manager,Above & Beyond Heating And Air,Business,http://aboveandbeyondhvacfl.com/,FL,Jacksonville,(904) 551-3490,pending,"Scraped from Google Maps: HVAC companies in Jacksonville, FL. Emails: filler@godaddy.com",['filler@godaddy.com']
info@jenkinsheatingandair.com,,,Owner/Manager,Jenkins Heating & Air,Business,http://jenkinsheatingandair.com/,FL,Jacksonville,(904) 268-9904,pending,"Scraped from Google Maps: HVAC companies in Jacksonville, FL. Emails: info@jenkinsheatingandair.com",['info@jenkinsheatingandair.com']
,,,Owner/Manager,Chase Heating and Air Conditioning,Business,,FL,Jacksonville,(904) 730-2099,pending,"Scraped from Google Maps: HVAC companies in Jacksonville, FL. Emails: ",[]
,,,Owner/Manager,"Progressive Mechanical, Inc.",Business,http://www.progressiveami.com/?utm_source=google&utm_medium=kp,FL,Jacksonville,(904) 346-1775,pending,"Scraped from Google Maps: HVAC companies in Jacksonville, FL. Emails: ",[]
,,,Owner/Manager,"Chills On Wheels Heating & Air Contractors, Inc.",Business,https://chillsonwheels.com/?utm_source=google&utm_medium=organic&utm_campaign=gbpcassat,FL,Jacksonville,(904) 820-3500,pending,"Scraped from Google Maps: HVAC companies in Jacksonville, FL. Emails: ",[]
filler@godaddy.com,,,Owner/Manager,Above & Beyond Heating And Air,Business,http://aboveandbeyondhvacfl.com/,FL,Jacksonville,(904) 551-3490,pending,"Scraped from Google Maps: HVAC companies in Jacksonville, FL. Emails: filler@godaddy.com",['filler@godaddy.com']
hugginsheatingandair@gmail.com,,,Owner/Manager,Huggins Mechanical,Business,http://hugginsac.com/,FL,Jacksonville,(904) 832-6610,pending,"Scraped from Google Maps: HVAC companies in Jacksonville, FL. Emails: hugginsheatingandair@gmail.com, estimating@hugginsac.com","['hugginsheatingandair@gmail.com', 'estimating@hugginsac.com']"
info@jenkinsheatingandair.com,,,Owner/Manager,Jenkins Heating & Air,Business,http://jenkinsheatingandair.com/,FL,Jacksonville,(904) 268-9904,pending,"Scraped from Google Maps: HVAC companies in Jacksonville, FL. Emails: info@jenkinsheatingandair.com",['info@jenkinsheatingandair.com']
,,,Owner/Manager,Chase Heating and Air Conditioning,Business,,FL,Jacksonville,(904) 730-2099,pending,"Scraped from Google Maps: HVAC companies in Jacksonville, FL. Emails: ",[]
,,,Owner/Manager,"Progressive Mechanical, Inc.",Business,http://www.progressiveami.com/?utm_source=google&utm_medium=kp,FL,Jacksonville,(904) 346-1775,pending,"Scraped from Google Maps: HVAC companies in Jacksonville, FL. Emails: ",[]
,,,Owner/Manager,"Air Excel Heating & Cooling, LLC",Business,/aclk?sa=L&ai=DChsSEwjZ2NfsiOGSAxUEH0QIHRT1AsUYACICCAEQCBoCZHo&co=1&ase=2&gclid=EAIaIQobChMI2djX7IjhkgMVBB9ECB0U9QLFEBAYASAAEgKr2vD_BwE&cid=CAAS0gHkaBhx5HctSE1_FHP5s_g5ng6LXiLPB7ikjwQRuGtooBMnF1MlE_TaRYuDQaKh-xS08TKFuPRJo7CfDKypk72AZYzqjCi9k7BtGnsR551E8wxkob6yxKSJTTvnr9zHMj5J7zA5DL1bxhKgqmKukMYTkFWEhT5MRM33JghIkxm-81j1i_24-gejcsfY7RKr_BaFeKjXCqH9kwPtwgmW9iuDxI09IPqJiztrWAOJk5-OgxnCZz8sKa8YX1wrTUWFB6X8HX0qbm_OPc12v-ftytvDgBc&cce=2&category=acrcp_v1_32&sig=AOD64_2SfUBkWpeFp38G0zerfq8fo5VtEQ&adurl&q&ctype=99&nis=6,FL,Jacksonville,(904) 529-0065,pending,"Scraped from Google Maps: HVAC companies in Jacksonville, FL. Emails: ",[]
,,,Owner/Manager,"Chills On Wheels Heating & Air Contractors, Inc.",Business,https://chillsonwheels.com/?utm_source=google&utm_medium=organic&utm_campaign=gbpcassat,FL,Jacksonville,(904) 820-3500,pending,"Scraped from Google Maps: HVAC companies in Jacksonville, FL. Emails: ",[]
hugginsheatingandair@gmail.com,,,Owner/Manager,Huggins Mechanical,Business,http://hugginsac.com/,FL,Jacksonville,(904) 832-6610,pending,"Scraped from Google Maps: HVAC companies in Jacksonville, FL. Emails: hugginsheatingandair@gmail.com, estimating@hugginsac.com","['hugginsheatingandair@gmail.com', 'estimating@hugginsac.com']"
,,,Owner/Manager,Abaco Air Experts,Business,https://abacoairexperts.com/,FL,Jacksonville,(904) 268-3800,pending,"Scraped from Google Maps: HVAC companies in Jacksonville, FL. Emails: ",[]
,,,Owner/Manager,Credible AC,Business,http://credibleac.com/,FL,Jacksonville,(904) 780-0078,pending,"Scraped from Google Maps: HVAC companies in Jacksonville, FL. Emails: ",[]
,,,Owner/Manager,One Hour Air Conditioning & Heating,Business,https://jacksonvilleonehour.com/?utm_source=GBP&utm_medium=organic&utm_campaign=jacksonvillegbp,FL,Jacksonville,(904) 257-5070,pending,"Scraped from Google Maps: HVAC companies in Jacksonville, FL. Emails: ",[]
,,,Owner/Manager,"Donovan Air, Electric & Plumbing",Business,https://www.donovanac.com/?utm_campaign=Google+My+Business&utm_source=GMB&utm_medium=organic&utm_content=Website,FL,Jacksonville,(904) 241-3785,pending,"Scraped from Google Maps: HVAC companies in Jacksonville, FL. Emails: ",[]
,,,Owner/Manager,Abaco Air Experts,Business,https://abacoairexperts.com/,FL,Jacksonville,(904) 268-3800,pending,"Scraped from Google Maps: HVAC companies in Jacksonville, FL. Emails: ",[]
info@greatdaneair.com,,,Owner/Manager,Great Dane,Business,http://greatdaneair.com/,FL,Jacksonville,(904) 512-0091,pending,"Scraped from Google Maps: HVAC companies in Jacksonville, FL. Emails: info@greatdaneair.com",['info@greatdaneair.com']
info@goldencomfortairhvac.com,,,Owner/Manager,Golden Comfort AC & Heating Repair,Business,https://goldencomfortairhvac.com/,FL,Jacksonville,(904) 907-8742,pending,"Scraped from Google Maps: HVAC companies in Jacksonville, FL. Emails: info@goldencomfortairhvac.com",['info@goldencomfortairhvac.com']
,,,Owner/Manager,Credible AC,Business,http://credibleac.com/,FL,Jacksonville,(904) 780-0078,pending,"Scraped from Google Maps: HVAC companies in Jacksonville, FL. Emails: ",[]
,,,Owner/Manager,One Hour Air Conditioning & Heating,Business,https://jacksonvilleonehour.com/?utm_source=GBP&utm_medium=organic&utm_campaign=jacksonvillegbp,FL,Jacksonville,(904) 257-5070,pending,"Scraped from Google Maps: HVAC companies in Jacksonville, FL. Emails: ",[]
,,,Owner/Manager,Cool Connections Inc.,Business,http://www.coolconnectionsinc.com/,FL,Jacksonville,(904) 908-5252,pending,"Scraped from Google Maps: HVAC companies in Jacksonville, FL. Emails: ",[]
,,,Owner/Manager,"Donovan Air, Electric & Plumbing",Business,https://www.donovanac.com/?utm_campaign=Google+My+Business&utm_source=GMB&utm_medium=organic&utm_content=Website,FL,Jacksonville,(904) 241-3785,pending,"Scraped from Google Maps: HVAC companies in Jacksonville, FL. Emails: ",[]
centgi@gmail.com,,,Owner/Manager,Superior Heating and Cooling Of NE FL LLC,Business,https://superiorheatingandcoolingfl.com/,FL,Jacksonville,(904) 203-2165,pending,"Scraped from Google Maps: HVAC companies in Jacksonville, FL. Emails: centgi@gmail.com",['centgi@gmail.com']
info@greatdaneair.com,,,Owner/Manager,Great Dane,Business,http://greatdaneair.com/,FL,Jacksonville,(904) 512-0091,pending,"Scraped from Google Maps: HVAC companies in Jacksonville, FL. Emails: info@greatdaneair.com",['info@greatdaneair.com']
info@a1aheatandair.com,,,Owner/Manager,A1A Heat & Air,Business,http://www.a1aheatandair.com/,FL,Jacksonville,(904) 808-2888,pending,"Scraped from Google Maps: HVAC companies in Jacksonville, FL. Emails: info@a1aheatandair.com, your@email.com","['info@a1aheatandair.com', 'your@email.com']"
info@goldencomfortairhvac.com,,,Owner/Manager,Golden Comfort AC & Heating Repair,Business,https://goldencomfortairhvac.com/,FL,Jacksonville,(904) 907-8742,pending,"Scraped from Google Maps: HVAC companies in Jacksonville, FL. Emails: info@goldencomfortairhvac.com",['info@goldencomfortairhvac.com']
,,,Owner/Manager,Cool Connections Inc.,Business,http://www.coolconnectionsinc.com/,FL,Jacksonville,(904) 908-5252,pending,"Scraped from Google Maps: HVAC companies in Jacksonville, FL. Emails: ",[]
info@flowtechac.com,,,Owner/Manager,Flow -Tech Air Conditioning Corp.,Business,https://www.flowtechac.com/,FL,Miami,(305) 264-5051,pending,"Scraped from Google Maps: HVAC companies in Miami, FL. Emails: info@flowtechac.com",['info@flowtechac.com']
minisplitsmiami1@gmail.com,,,Owner/Manager,Best Price Mini Splits Miami Fl,Business,http://bestpriceminisplitsmiami.com/,FL,Miami,(786) 447-7745,pending,"Scraped from Google Maps: HVAC companies in Miami, FL. Emails: minisplitsmiami1@gmail.com",['minisplitsmiami1@gmail.com']
info@directac123.com,,,Owner/Manager,Direct Air Conditioning,Business,https://www.directac123.com/cooling/?utm_source=google-gbp&utm_medium=organic&utm_campaign=*79*direct-air-miami,FL,Miami,(786) 884-5021,pending,"Scraped from Google Maps: HVAC companies in Miami, FL. Emails: info@directac123.com, contact@mysite.com, leads@directac123.com","['info@directac123.com', 'contact@mysite.com', 'leads@directac123.com']"
eddy@coolsolutionservices.com,,,Owner/Manager,Cool Solution Services,Business,http://www.coolsolutionservices.com/,FL,Miami,(305) 505-0871,pending,"Scraped from Google Maps: HVAC companies in Miami, FL. Emails: eddy@coolsolutionservices.com",['eddy@coolsolutionservices.com']
,,,Owner/Manager,Reliable Air Conditioning,Business,https://www.acreliable.com/,FL,Miami,(305) 325-9283,pending,"Scraped from Google Maps: HVAC companies in Miami, FL. Emails: ",[]
